Th1;Th2;CN;Nodes;Edges;A;B;C;D;E;Metric
0.018;0.012;15;51;171;0.79295135;0.8835534;0.8312116;0.839437;0.33136877;73.57044
0.019;0.012;15;51;169;0.7871338;0.8851541;0.8343734;0.8493181;0.32951635;73.709915
0.02;0.012;15;51;169;0.7871338;0.8851541;0.8343734;0.8493181;0.32951635;73.709915
0.021;0.012;15;51;169;0.7871338;0.8851541;0.8343734;0.8493181;0.32951635;73.709915
0.022;0.012;15;51;168;0.78723365;0.8859544;0.83349985;0.84940815;0.3295154;73.71223
0.023;0.012;15;51;168;0.78723365;0.8859544;0.83349985;0.84940815;0.3295154;73.71223
0.024;0.012;15;51;168;0.78723365;0.8859544;0.83349985;0.84940815;0.3295154;73.71223
0.025;0.012;15;51;168;0.78723365;0.8859544;0.83349985;0.84940815;0.3295154;73.71223
0.026;0.012;15;51;168;0.78723365;0.8859544;0.83349985;0.84940815;0.3295154;73.71223
0.027;0.012;15;51;168;0.78723365;0.8859544;0.83349985;0.84940815;0.3295154;73.71223
0.028;0.012;15;51;168;0.78723365;0.8859544;0.83349985;0.84940815;0.3295154;73.71223
0.029;0.012;15;51;168;0.78723365;0.8859544;0.83349985;0.84940815;0.3295154;73.71223
0.03;0.012;15;51;168;0.78723365;0.8859544;0.83349985;0.84940815;0.3295154;73.71223
0.031;0.012;15;51;168;0.78723365;0.8859544;0.83349985;0.84940815;0.3295154;73.71223
0.006;0.013;15;95;182;0.8301467;0.9695529;0.8522724;0.879678;0.38041618;78.24132
0.007;0.013;15;84;169;0.81301546;0.96312433;0.84815156;0.8725262;0.37642595;77.464874
0.008;0.013;15;70;168;0.79199296;0.9441176;0.8583132;0.8545129;0.38006896;76.58011
0.009;0.013;15;64;156;0.7671974;0.9375;0.8512806;0.84074295;0.3763346;75.46111
0.01;0.013;15;54;144;0.7984936;0.9166667;0.85713196;0.8282462;0.35789943;75.16876
0.011;0.013;15;51;148;0.7832614;0.90196073;0.8370696;0.83926845;0.3582699;74.39661
0.012;0.013;15;45;141;0.74965835;0.8775193;0.85041803;0.8160568;0.3369744;72.61253
0.013;0.013;15;41;133;0.7423699;0.8592871;0.84591645;0.7877569;0.30314225;70.76945
