Th1;Th2;CN;Nodes;Edges;A;B;C;D;E;Metric
0.028;0.02;15;16;30;0.7826436;0.8035714;0.85336936;0.8016028;0.2986812;70.79737
0.029;0.02;15;16;30;0.7826436;0.8035714;0.85336936;0.8016028;0.2986812;70.79737
0.03;0.02;15;16;30;0.7826436;0.8035714;0.85336936;0.8016028;0.2986812;70.79737
0.031;0.02;15;16;30;0.7826436;0.8035714;0.85336936;0.8016028;0.2986812;70.79737
0.006;0.021;15;35;36;0.7275325;0.96796536;0.8693874;0.84108526;0.314036;74.40014
0.007;0.021;15;35;36;0.7275325;0.96796536;0.8693874;0.84108526;0.314036;74.40014
0.008;0.021;15;33;36;0.7217752;0.9618768;0.85797334;0.8312452;0.3185037;73.827484
0.009;0.021;15;34;38;0.73310626;0.96139705;0.8544291;0.8332107;0.32247135;74.09229
0.01;0.021;15;25;31;0.6897884;0.9356522;0.8441312;0.79791117;0.32217434;71.793144
0.011;0.021;15;25;28;0.738424;0.94608694;0.8475917;0.8049519;0.3226183;73.19345
0.012;0.021;15;24;28;0.7133495;0.93939394;0.8453236;0.7972271;0.3213529;72.33294
0.013;0.021;15;22;27;0.7054352;0.9272727;0.84325314;0.8018936;0.32268235;72.01074
0.014;0.021;15;21;26;0.69729424;0.92230576;0.84606636;0.8145216;0.32739612;72.15168
0.015;0.021;15;20;24;0.6914246;0.92222226;0.85263354;0.82273006;0.33541334;72.48848
0.016;0.021;15;20;24;0.6914246;0.92222226;0.85263354;0.82273006;0.33541334;72.48848
0.017;0.021;15;19;24;0.6962414;0.91021675;0.85434127;0.8203125;0.34139717;72.45018
0.018;0.021;15;19;25;0.6958426;0.9040248;0.8206562;0.77338326;0.3414864;70.70786
0.019;0.021;15;16;26;0.6796825;0.83928573;0.8574675;0.79609364;0.28005728;69.051735
0.02;0.021;15;16;27;0.6877748;0.83035713;0.85535514;0.80339205;0.27733302;69.08424
0.021;0.021;15;16;28;0.687779;0.8214286;0.85638756;0.803359;0.27733302;68.925735
0.022;0.021;15;16;29;0.68755174;0.8125;0.85794795;0.79943913;0.27733302;68.695435
0.023;0.021;15;16;29;0.68755174;0.8125;0.85794795;0.79943913;0.27733302;68.695435
0.024;0.021;15;16;29;0.68755174;0.8125;0.85794795;0.79943913;0.27733302;68.695435
0.025;0.021;15;16;29;0.68678606;0.8125;0.8600674;0.80166644;0.27733302;68.76706
0.026;0.021;15;15;24;0.74433386;0.8307692;0.8127454;0.81218153;0.29244548;69.8495
0.027;0.021;15;15;24;0.74433386;0.8307692;0.8127454;0.81218153;0.29244548;69.8495
0.028;0.021;15;15;24;0.74433386;0.8307692;0.8127454;0.81218153;0.29244548;69.8495
0.029;0.021;15;15;24;0.74433386;0.8307692;0.8127454;0.81218153;0.29244548;69.8495
0.03;0.021;15;15;24;0.74433386;0.8307692;0.8127454;0.81218153;0.29244548;69.8495
0.031;0.021;15;15;24;0.74433386;0.8307692;0.8127454;0.81218153;0.29244548;69.8495
0.006;0.022;15;53;57;0.6849983;0.97780246;0.860423;0.7934571;0.29151037;72.163826
0.007;0.022;15;27;27;0.70317423;0.96;0.8542717;0.800433;0.29902133;72.338
0.008;0.022;15;26;27;0.70982355;0.9551282;0.8496979;0.7949411;0.29660603;72.12394
0.009;0.022;15;26;27;0.70982355;0.9551282;0.8496979;0.7949411;0.29660603;72.12394
0.01;0.022;15;24;24;0.7178422;0.95454544;0.84602255;0.7859826;0.30399477;72.16775
0.011;0.022;15;23;24;0.7141423;0.94824016;0.8397599;0.7914961;0.31785426;72.22986
0.012;0.022;15;22;24;0.7390611;0.9409091;0.84040594;0.7850599;0.3191179;72.49107
0.013;0.022;15;20;22;0.7333236;0.9333333;0.83377665;0.78928083;0.3196251;72.18679
0.014;0.022;15;20;22;0.7333236;0.9333333;0.83377665;0.78928083;0.3196251;72.18679
0.015;0.022;15;19;20;0.7296101;0.93498456;0.8420077;0.79756355;0.32735783;72.63048
0.016;0.022;15;19;20;0.7296101;0.93498456;0.8420077;0.79756355;0.32735783;72.63048
0.017;0.022;15;19;20;0.7296101;0.93498456;0.8420077;0.79756355;0.32735783;72.63048
0.018;0.022;15;18;20;0.6939708;0.9236111;0.7974469;0.7535028;0.31909114;69.75246
0.019;0.022;15;15;21;0.64880776;0.86153847;0.8121392;0.7373943;0.31668663;67.53133
0.02;0.022;15;14;19;0.66843605;0.85714287;0.8049183;0.74962115;0.32069322;68.016235
0.021;0.022;15;12;16;0.65640175;0.8333333;0.79209757;0.80729604;0.3319434;68.42144
0.022;0.022;15;12;18;0.68073964;0.8;0.8239311;0.7721534;0.2911513;67.35951
0.023;0.022;15;12;18;0.68073964;0.8;0.8239311;0.7721534;0.2911513;67.35951
0.024;0.022;15;10;14;0.7418792;0.77500004;0.8014953;0.8142391;0.2933231;68.51874
0.025;0.022;15;10;14;0.7409766;0.775;0.80921656;0.79646313;0.2933231;68.29959
0.026;0.022;15;10;19;0.63644874;0.65;0.871617;0.77612036;0.23672673;63.41826
0.027;0.022;15;10;19;0.63644874;0.65;0.871617;0.77612036;0.23672673;63.41826
0.028;0.022;15;10;19;0.63644874;0.65;0.871617;0.77612036;0.23672673;63.41826
0.029;0.022;15;10;19;0.63644874;0.65;0.871617;0.77612036;0.23672673;63.41826
0.03;0.022;15;10;19;0.63644874;0.65;0.871617;0.77612036;0.23672673;63.41826
0.031;0.022;15;10;19;0.63644874;0.65;0.871617;0.77612036;0.23672673;63.41826
0.006;0.023;15;21;21;0.66046953;0.94736844;0.83870745;0.79294825;0.30293888;70.84865
0.007;0.023;15;21;21;0.66046953;0.94736844;0.83870745;0.79294825;0.30293888;70.84865
0.008;0.023;15;21;21;0.66046953;0.94736844;0.83870745;0.79294825;0.30293888;70.84865
0.009;0.023;15;21;21;0.66046953;0.94736844;0.83870745;0.79294825;0.30293888;70.84865
0.01;0.023;15;19;20;0.6638087;0.93498456;0.8412356;0.7878337;0.31200555;70.79736
0.011;0.023;15;19;20;0.65606;0.93498456;0.84155697;0.78847563;0.311741;70.65636
0.012;0.023;15;18;20;0.6844754;0.9236111;0.84341073;0.7801771;0.31207848;70.87505
0.013;0.023;15;16;18;0.6724775;0.91071427;0.8355892;0.78451383;0.31234705;70.312836
0.014;0.023;15;16;18;0.6724775;0.91071427;0.8355892;0.78451383;0.31234705;70.312836
0.015;0.023;15;16;18;0.6724775;0.91071427;0.8355892;0.78451383;0.31234705;70.312836
0.016;0.023;15;16;18;0.6724775;0.91071427;0.8355892;0.78451383;0.31234705;70.312836
0.017;0.023;15;16;18;0.6724775;0.91071427;0.8355892;0.78451383;0.31234705;70.312836
0.018;0.023;15;13;16;0.6049766;0.8671329;0.80226815;0.70676386;0.3158212;65.939255
0.019;0.023;15;13;16;0.6049766;0.8671329;0.80226815;0.70676386;0.3158212;65.939255
0.02;0.023;15;13;16;0.6049766;0.8671329;0.80226815;0.70676386;0.3158212;65.939255
0.021;0.023;15;12;16;0.6132554;0.8333334;0.82349074;0.70232487;0.31175283;65.68314
0.022;0.023;15;12;16;0.6132554;0.8333334;0.82349074;0.70232487;0.31175283;65.68314
0.023;0.023;15;8;13;0.5925215;0.625;0.86131173;0.7014539;0.23211731;60.24809
0.024;0.023;15;6;9;0.6698886;0.5;0.8534948;0.7447694;0.24942067;60.35147
0.025;0.023;15;6;9;0.66831654;0.5;0.8548543;0.73969144;0.24942067;60.245663
0.026;0.023;15;6;8;0.6809008;0.5833333;0.86707;0.7436423;0.23682128;62.23535
0.027;0.023;15;6;8;0.6809008;0.5833333;0.86707;0.7436423;0.23682128;62.23535
0.028;0.023;15;6;8;0.6809008;0.5833333;0.86707;0.7436423;0.23682128;62.23535
0.029;0.023;15;6;8;0.6809008;0.5833333;0.86707;0.7436423;0.23682128;62.23535
0.03;0.023;15;6;8;0.6809008;0.5833333;0.86707;0.7436423;0.23682128;62.23535
0.031;0.023;15;6;8;0.6809008;0.5833333;0.86707;0.7436423;0.23682128;62.23535
0.006;0.024;15;12;12;0.648059;0.9;0.8140984;0.71862847;0.276033;67.136375
0.007;0.024;15;12;12;0.648059;0.9;0.8140984;0.71862847;0.276033;67.136375
0.008;0.024;15;12;12;0.648059;0.9;0.8140984;0.71862847;0.276033;67.136375
0.009;0.024;15;12;12;0.648059;0.9;0.8140984;0.71862847;0.276033;67.136375
0.01;0.024;15;12;12;0.648059;0.9;0.8140984;0.71862847;0.276033;67.136375
0.011;0.024;15;12;12;0.648059;0.9;0.8140984;0.71862847;0.276033;67.136375
0.012;0.024;15;11;12;0.6547669;0.8686869;0.82858866;0.7146489;0.27407035;66.81523
0.013;0.024;15;11;12;0.6547669;0.8686869;0.82858866;0.7146489;0.27407035;66.81523
0.014;0.024;15;10;12;0.67320013;0.825;0.8477065;0.71923304;0.24456814;66.19416
0.015;0.024;15;10;12;0.67320013;0.825;0.8477065;0.71923304;0.24456814;66.19416
0.016;0.024;15;10;12;0.67320013;0.825;0.8477065;0.71923304;0.24456814;66.19416
0.017;0.024;15;10;12;0.67320013;0.825;0.8477065;0.71923304;0.24456814;66.19416
0.018;0.024;15;10;12;0.67320013;0.825;0.8477065;0.71923304;0.24456814;66.19416
0.019;0.024;15;9;10;0.6839733;0.82539684;0.8330935;0.71857804;0.25582504;66.33733
0.02;0.024;15;9;10;0.6839733;0.82539684;0.8330935;0.71857804;0.25582504;66.33733
0.021;0.024;15;9;10;0.6839733;0.82539684;0.8330935;0.71857804;0.25582504;66.33733
0.022;0.024;15;8;9;0.6682446;0.7916667;0.82577634;0.7016057;0.2663287;65.07244
0.023;0.024;15;8;9;0.6682446;0.7916667;0.82577634;0.7016057;0.2663287;65.07244
0.024;0.024;15;6;8;0.6932326;0.5833333;0.8656941;0.6812821;0.21645558;60.799953
0.025;0.024;15;5;6;0.6789017;0.5333333;0.904654;0.7309634;0.16878389;60.332726
0.026;0.024;15;5;6;0.6789017;0.5333333;0.904654;0.7309634;0.16878389;60.332726
0.027;0.024;15;5;6;0.6789017;0.5333333;0.904654;0.7309634;0.16878389;60.332726
0.028;0.024;15;5;6;0.6789017;0.5333333;0.904654;0.7309634;0.16878389;60.332726
0.029;0.024;15;5;6;0.6789017;0.5333333;0.904654;0.7309634;0.16878389;60.332726
0.03;0.024;15;5;6;0.6789017;0.5333333;0.904654;0.7309634;0.16878389;60.332726
0.031;0.024;15;5;6;0.6789017;0.5333333;0.904654;0.7309634;0.16878389;60.332726
